"!Template name","LANG_SE","LANG_EN"
"_CantRemoveActiveOffers","Det går inte att radera offerter som är skickade eller öppna,
 var vänlig och återkalla offerten först.","You cannot delete documents that are sent or open, please withdraw
 the document first."
"_OfferReminderBodyMulti","            Är du säker att du vill skicka en påminnelse til
 berörda parter för ","            Are you sure you want to send reminders to the parties
 involved in the"
"_OfferReminderBodyMulti2","offerter.          ","offers?          "
"_OfferReminderBodySingel","            Är du säker att du vill skicka en påminnelse til
 berörda parter i offerter ","            Are you sure you want to send a reminder to the parties
 involved in the offer"
"_OfferReminderHead","Skicka påminnelse","Send reminder"
"_SortCompany","Företag ","Company"
"_SortReciever","Mottagare ","Recipient"
"_SortSender","Avsändare ","Sender"
"******_tablestatusesCandelled","Avbrutet","Canceled"
"******_tablestatusesConfirmed","Bekräftat","Confirmed"
